60,43
61,42
62,53
63,77
64,61
65,33
66,21
67,20
68,19
69,55
70,31
71,24
72,15
73,45
74,47
75,49
76,33
77,31
78,12
79,21
80,43
81,34
82,51
83,35
84,35
85,66
86,56
87,42
88,0
40,5
41,10
42,67
43,82
44,82
45,62
46,77
47,52
48,55
49,75
50,32
51,37
52,44
53,41
54,44
55,37
56,32
57,38
58,50
59,51
60,53
61,66
62,77
63,44
64,33
65,29
66,47
67,87
68,92
69,66
70,37
71,73
72,47
73,88
74,91
75,74
76,62
77,41
20,37
21,19
22,17
23,32
24,63
25,77
26,19
27,16
28,22
29,34
30,42
31,64
32,65
33,70
34,74
35,72
36,71
37,67
38,45
39,22
40,88
41,57
42,22
43,72
44,50
45,51
46,15
47,14
48,25
49,31
50,49
51,51
52,50
